MAC адрес,Производитель,Сила сигнала (dBm),Время последнего обнаружения,Канал
D6:92:8A:F2:56:55,locally administered,-59,2025-12-10 14:37:29.241,1
2C:57:41:83:32:01,"Cisco Systems, Inc",-75,2025-12-10 14:37:29.296,1
2C:57:41:83:32:02,"Cisco Systems, Inc",-73,2025-12-10 14:37:29.296,1
2C:57:41:83:32:03,"Cisco Systems, Inc",-73,2025-12-10 14:37:29.297,1
2C:57:41:83:32:04,"Cisco Systems, Inc",-75,2025-12-10 14:37:29.297,1
2C:57:41:83:32:05,"Cisco Systems, Inc",-73,2025-12-10 14:37:29.297,1
28:E3:47:FE:34:44,Liteon Technology Corporation,-63,2025-12-10 14:37:29.419,1
60:CE:86:53:C6:96,Sercomm Corporation.,-29,2025-12-10 14:37:29.575,1
82:EA:2D:10:7F:8D,locally administered,-85,2025-12-10 14:37:30.213,1
48:8B:0A:A1:05:70,"Cisco Systems, Inc",-31,2025-12-10 14:37:30.236,1
8E:0A:87:2D:97:50,locally administered,-89,2025-12-10 14:37:30.256,1
4E:88:B6:FE:0D:FD,locally administered,-85,2025-12-10 14:37:34.066,1
76:AD:B5:33:F4:F9,locally administered,-67,2025-12-10 14:37:37.242,1
